CORP_KEY|ENTITY_TYPE|CORPORATENAME_NATIVE|RELATIONSHIP_STARTDATE|STATUS|LEGALENTITY_TYPE|SEGMENT|SUBSEGMENT|WEBSITE_ADDRESS|KEYCONTACT_PERSONNAME|PHONECITYCODE|PHONELOCALCODE|PHONECOUNTRYCODE|NOTES|PRINCIPLE_PLACEOPERATION|BUSINESS_GROUP|PRIMARYRM_ID|DATE_OF_INCORPORATION|DATE_OF_COMMENCEMENT|PRIMARY_SERVICE_CENTER|RELATIONSHIP_CREATEDBY|SECTOR|SUBSECTOR|TAXID|ENTITYCLASS|AVERAGE_ANNUALINCOME|SOURCE_OF_FUNDS|GROUP_ID|GROUP_ID_CODE|PARENT_CIF|CUSTOMER_RATING|HEALTH_CODE|RECORD_STATUS|EFFECTIVE_DATE|LINE_OF_ACTIVITY_DESC|CUST_MGR_OPIN|CUST_TYPE_DESC|CUST_STAT_CHG_DATE|TDS_TBL_DESC|CUST_SWIFT_CODE|IS_SWIFT_CODE_OF_BANK|CUSTDEPOSITSINOTHERBANKS|TOTALFUNDBASE|TOTALNONFUNDBASE|ADVANCEASONDATE|CUST_CONST|DOCUMENT_RECEIVED_FLAG|CRNCY_CODE_CORPORATE|TRADE_SERVICES_AVAILED|PRIMARYSOLID|CHRG_DR_FORACID|CHRG_DR_SOL_ID|CUST_CHRG_HISTORY_FLG|TOT_TOD_ALWD_TIMES|SMALL_STR1|SMALL_STR2|SMALL_STR3|SMALL_STR4|SMALL_STR5|SMALL_STR6|SMALL_STR7|SMALL_STR8|SMALL_STR9|SMALL_STR10|MED_STR1|MED_STR2|MED_STR3|MED_STR4|MED_STR5|MED_STR6|MED_STR7|MED_STR8|MED_STR9|MED_STR10|LARGE_STR1|LARGE_STR2|LARGE_STR3|LARGE_STR4|LARGE_STR5|DATE1|DATE2|DATE3|DATE4|DATE5|DATE6|DATE7|DATE8|DATE9|DATE10|NUMBER1|NUMBER2|NUMBER3|NUMBER4|NUMBER5|NUMBER6|NUMBER7|NUMBER8|NUMBER9|NUMBER10|DECIMAL1|DECIMAL2|DECIMAL3|DECIMAL4|DECIMAL5|DECIMAL6|DECIMAL7|DECIMAL9|DECIMAL10|DECIMAL8|CORE_CUST_ID|CIFID|CREATEDBYSYSTEMID|CORPORATENAME_NATIVE1|SHORT_NAME_NATIVE1|OWNERAGENT|PRIMARYRMLOGIN_ID|SECONDARYRMLOGIN_ID|TERTIARYRMLOGIN_ID|ACCESSOWNERGROUP|ACCESSOWNERSEGMENT|ACCESSOWNERBC|ACCESSOWNERAGENT|ACCESSASSIGNEEAGENT|PRIMARYPARENTCOMPANY|COUNTRYOFPRINCIPALOPERATION|PARENTCIF_ID|CHARGELEVELCODE|COUNTRYOFORIGIN|COUNTRYOFINCORPORATION|INTUSERFIELD1|INTUSERFIELD2|INTUSERFIELD3|INTUSERFIELD4|INTUSERFIELD5|STRUSERFIELD1|STRUSERFIELD2|STRUSERFIELD3|STRUSERFIELD4|STRUSERFIELD5|STRUSERFIELD6|STRUSERFIELD7|STRUSERFIELD8|STRUSERFIELD9|STRUSERFIELD10|STRUSERFIELD11|STRUSERFIELD12|STRUSERFIELD13|STRUSERFIELD14|STRUSERFIELD15|STRUSERFIELD16|STRUSERFIELD17|STRUSERFIELD18|STRUSERFIELD19|STRUSERFIELD20|STRUSERFIELD21|STRUSERFIELD22|STRUSERFIELD23|STRUSERFIELD24|STRUSERFIELD25|STRUSERFIELD26|STRUSERFIELD27|STRUSERFIELD28|STRUSERFIELD29|STRUSERFIELD30|DATEUSERFIELD1|DATEUSERFIELD2|DATEUSERFIELD3|DATEUSERFIELD4|DATEUSERFIELD5|NATIVELANGCODE|CUST_HLTH|LASTSUBMITTEDDATE|RISK_PROFILE_SCORE|RISK_PROFILE_EXPIRY_DATE|OUTSTANDING_MORTAGE|CORPORATE_NAME|SHORT_NAME|SHORT_NAME_NATIVE|REGISTRATION_NUMBER|CHANNELSACCESSED|ZIP|BACKENDID|DELINQUENCY_FLAG|SUSPEND_FLAG|SUSPEND_NOTES|SUSPEND_REASON|BLACKLIST_FLAG|BLACKLIST_NOTES|BLACKLIST_REASON|NEGATIVE_FLAG|NEGATIVE_NOTES|NEGATIVE_REASON|DSAID|CUSTASSET_CLASSIFICATION|CLASSIFIED_ON|CUST_CREATION_MODE|INCREMENTALDATEUPDATE|LANG_CODE|TDS_CUST_ID|OTHERLIMITS|CORE_INTROD_CUST_ID|INTROD_NAME|INTROD_STAT_CODE|ENTITY_STAGE|ENTITY_STEP_STATUS|EMAIL2|CUST_GRP|CUST_CONST_CODE|CUSTASSET_CLSFTION_CODE|LEGALENTITY_TYPE_CODE|REGION_CODE|PRIORITY_CODE|BUSINESS_TYPE_CODE|RELATIONSHIP_TYPE_CODE|CRNCY_CODE|STR1|STR2|STR3|STR4|STR5|STR6|STR7|STR8|STR9|STR10|STR11|STR12|STR13|STR14|STR15|AMOUNT1|AMOUNT2|AMOUNT3|AMOUNT4|AMOUNT5|INT1|INT2|INT3|INT4|INT5|FLAG1|FLAG2|FLAG3|FLAG4|FLAG5|MLUSERFIELD1|MLUSERFIELD2|MLUSERFIELD3|MLUSERFIELD4|MLUSERFIELD5|MLUSERFIELD6|MLUSERFIELD7|MLUSERFIELD8|MLUSERFIELD9|MLUSERFIELD10|UNIQUEGROUPFLAG|BANK_ID|ZAKAT_DEDUCTION|ASSET_CLASSIFICATION|CUSTOMER_LEVEL_PROVISIONING|ISLAMIC_BANKING_CUSTOMER|PREFERREDCALENDAR|IDTYPEC1|IDTYPEC2|IDTYPEC3|IDTYPEC4|IDTYPEC5|IDTYPEC6|IDTYPEC7|IDTYPEC8|IDTYPEC9|IDTYPEC10|CORPORATE_NAME_ALT1|SHORT_NAME_ALT1|KEYCONTACT_PERSONNAME_ALT1|PARENT_CIF_ALT1|BOCREATEDBYLOGINID|SUBMITFORKYC|KYC_REVIEWDATE|KYC_DATE|RISKRATING|FOREIGNACCTAXREPORTINGREQ|FOREIGNTAXREPORTINGCOUNTRY|FOREIGNTAXREPORTINGSTATUS|LASTFOREIGNTAXREVIEWDATE|NEXTFOREIGNTAXREVIEWDATE|FATCAREMARKS|MLUSERFIELD11|MLUSERFIELD12|MLUSERFIELD13|MLUSERFIELD14|MLUSERFIELD15|MLUSERFIELD16|MLUSERFIELD17|MLUSERFIELD18|MLUSERFIELD19|INT6|INT7|DATE6_1|DATE7_1|DATE8_1|DATE9_1|DATE10_1
C000000001|CUSTOMER|SANIMA PVT. LTD|21-Dec-2008|NORMAL|CORPORATE|LOW|LOW|||4445952||977||NEPAL|DEF_BUS_GROUP||01-01-1900||2008/12/21 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:301136581|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||SANIMA PVT. LTD|SANIMA PVT. LTD||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/01/01 00:00:00.000000000||SANIMA PVT. LTD|SANIMA PVT|SANIMA PVT. LTD|20259/059/60|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000001||||||||||||||||||||||||||||||||||||||||
C000000029|CUSTOMER|AGNI INCORPORATED PVT. LT|22-Dec-2004|NORMAL|CORPORATE|HIGH|HIGH||CABINET SHRESTHA|4414628/29||977|Remarks: /Telephone2:|NEPAL|DEF_BUS_GROUP||01-01-1900||2004/12/22 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:300045572|DEF_CLASS|000|BUSINESS||||HR High||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||AGNI INCORPORATED PVT. LTD.|AGNI INCORPORATED PVT. LTD.||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/02/22 00:00:00.000000000||AGNI INCORPORATED PVT. LTD.|AGNI INCOR|AGNI INCORPORATED PVT. LTD.|4103/059|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||DIPENDR||||niranjan@agniinc.com.np||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000029||||||||||||||||||||||||||||||||||||||||
C000000044|CUSTOMER|KRIYAPUTRI BHABAN NIRMAN|04-Dec-2009|NORMAL|CORPORATE|LOW|LOW|||445952, 4370865||977|Remarks: /Telephone2:9851025947|NEPAL|DEF_BUS_GROUP||01-01-1900||2009/12/04 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:0|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||KRIYAPUTRI BHABAN NIRMAN P.I.C|KRIYAPUTRI BHABAN NIRMAN P.I.C||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2016/12/28 00:00:00.000000000||KRIYAPUTRI BHABAN NIRMAN P.I.C|KRIYAPUTRI|KRIYAPUTRI BHABAN NIRMAN P.I.C||||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||SANTOSH||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000044||||||||||||||||||||||||||||||||||||||||
C000000105|CUSTOMER|NCELL PRIVATE LIMITED|26-Apr-2010|NORMAL|CORPORATE|MEDIUM|MEDIUM||SUREN  JEEVAKA AMARASEKER|9805554444/||977|Remarks: /Telephone2:9802100666|NEPAL|DEF_BUS_GROUP||01-01-1900||2010/04/26 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:300325694|DEF_CLASS|000|BUSINESS||||MR Medium||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||NCELL PRIVATE LIMITED|NCELL PRIVATE LIMITED||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/01/03 00:00:00.000000000||NCELL PRIVATE LIMITED|NCELL PRIV|NCELL PRIVATE LIMITED|15888/2057/058|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||SELF||||www.ncell.axiata.com||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000105||||||||||||||||||||||||||||||||||||||||
C000000123|CUSTOMER|NEPAL MER. BAN.& FIN. LTD|28-Dec-2004|NORMAL|CORPORATE|LOW|LOW||UPENDRA POUDYAL|246160||977||NEPAL|DEF_BUS_GROUP||01-01-1900||2004/12/28 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:0|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||NMB BANK LIMITED|NMB BANK LIMITED||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2016/12/29 00:00:00.000000000||NMB BANK LIMITED|NMB BANK L|NMB BANK LIMITED|238/052/53|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||ZANAK||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000123||||||||||||||||||||||||||||||||||||||||
C000000125|CUSTOMER|UNITED INS. CO. (N) LTD.|28-Dec-2004|NORMAL|CORPORATE|LOW|LOW||UNITED INSURANCE CO.|5111111||977|Remarks: /Telephone2:9849148528|NEPAL|DEF_BUS_GROUP||01-01-1900||2004/12/28 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:500058017|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||UNITED INS. CO. (N) LTD.|UNITED INS. CO. (N) LTD.||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/01/04 00:00:00.000000000||UNITED INS. CO. (N) LTD.|UNITED INS|UNITED INS. CO. (N) LTD.|500058017|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||SATYA||||uic@mail.com.np||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000125||||||||||||||||||||||||||||||||||||||||
C000000135|CUSTOMER|MALIKA DEVELOPMENT BANK L|15-Dec-2009|NORMAL|CORPORATE|LOW|LOW|||091523738||977||NEPAL|DEF_BUS_GROUP||01-01-1900||2009/12/15 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:301280758|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||MAHALAXMI BIKAS BANK LIMITED|MAHALAXMI BIKAS BANK LIMITED||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2010/08/22 00:00:00.000000000||MAHALAXMI BIKAS BANK LIMITED|MAHALAXMI|MAHALAXMI BIKAS BANK LIMITED||||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||0010009007511||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000135||||||||||||||||||||||||||||||||||||||||
C000000137|CUSTOMER|PREMIER INS. CO. (N) LTD.|04-Jan-2005|NORMAL|CORPORATE|MEDIUM|MEDIUM||RADHE SHYAM GORKHALI|4413543, 441064|8, 4439358|977|Remarks: /Telephone2:9841630680|NEPAL|DEF_BUS_GROUP||01-01-1900||2005/01/04 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:500060418|DEF_CLASS|000|BUSINESS||||MR Medium||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||PREMIER INSURANCE|PREMIER INSURANCE||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/05/26 00:00:00.000000000||PREMIER INSURANCE|PREMIER IN|PREMIER INSURANCE|62/048/49|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||0010009007511||||premier@picl.com.np||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000137||||||||||||||||||||||||||||||||||||||||
C000000139|CUSTOMER|DEV.  CREDIT BANK LIMITED|06-Jan-2005|NORMAL|CORPORATE|LOW|LOW||SHASHI K. MASKEY|||977||NEPAL|DEF_BUS_GROUP||01-01-1900||2005/01/06 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:0|DEF_CLASS|000|BUSINESS||||LR Low||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||GRAND BANK NEPAL LTD|GRAND BANK NEPAL LTD||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2010/08/22 00:00:00.000000000||GRAND BANK NEPAL LTD|GRAND BANK|GRAND BANK NEPAL LTD||||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||ZANAK||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000139||||||||||||||||||||||||||||||||||||||||
C000000147|CUSTOMER|P.M.R. HOUSING & PLANNING|10-Mar-2005|NORMAL|CORPORATE|MEDIUM|MEDIUM||RADHESHYAM PRAJAPATI|2081403||977|Remarks: /Telephone2:9845049146|NEPAL|DEF_BUS_GROUP||01-01-1900||2005/03/10 00:00:00.000000000|DEF_USER|DEF_SECTOR|001|PAN:301768902|DEF_CLASS|000|BUSINESS||||MR Medium||||||||||N|||||||NPR|Y|001|||Y|999||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||P.M.R. HOUSING & PLANNING PVT. LTD.|P.M.R. HOUSING & PLANNING PVT. LTD.||DEF_PLOGIN_ID||||||||||||NEPAL|NEPAL||||||M/S||Y|0016||Y||||||||N||NEPAL|||||||||||NEPAL||NPR||||||||DEF_HEALTH_CODE|||2017/01/01 00:00:00.000000000||P.M.R. HOUSING & PLANNING PVT. LTD.|P.M.R. HOU|P.M.R. HOUSING & PLANNING PVT. LTD.|32000/060/62|||||||||||||||DEF_ASSET_TYPE||U||DEF_LANG_CODE||||DEEPA||||||||||DEF_PRIORITY_CODE|DEF_BUSTYPE_CODE|DEF_RELTYPE_CODE|NPR||||||||||||||||000||||||||||||||||||||||||||01||||||00000147||||||||||||||||||||||||||||||||||||||||
